name,team,level,class_last,reliability,player_id,canonical_id,season,last_season,last_n,proj_woba,proj_woba_p10,proj_woba_p90,periph_adj,proj_k_pct,proj_bb_pct,proj_iso,proj_babip,proj_hr_pa,proj_avg,proj_obp
Tyler Hogan,Edmonds,JUCO,So,0.387,90,90,2027,2025,147,0.3297,0.2593,0.4,0.0,0.1234,0.119,0.0875,0.3079,0.0059,0.2602,0.3658
Levi Joyce,Edmonds,JUCO,Fr,0.566,4314,4314,2027,2025,144,0.3297,0.2613,0.3982,0.0,0.1116,0.1268,0.0913,0.2911,0.0073,0.247,0.3652
Graysen Reveal,Centralia,JUCO,So,0.422,736,736,2027,2025,170,0.3295,0.2596,0.3995,0.0,0.1731,0.1283,0.0739,0.2966,0.0057,0.2321,0.3797
Oliver Hogan,Bellevue,JUCO,Fr,0.567,4167,4167,2027,2025,230,0.3295,0.2611,0.398,0.0,0.1782,0.1098,0.1015,0.3101,0.0096,0.2546,0.3604
JT Landwehr,Portland,D1,Sr,0.23,3593,3593,2027,2026,59,0.3295,0.2575,0.4014,0.0,0.1633,0.0847,0.12,0.3236,0.0188,0.2684,0.3489
Jack Rhea,Pacific,D3,Sr,0.506,4101,4101,2027,2025,64,0.3293,0.2602,0.3983,0.0,0.1679,0.1178,0.0701,0.3162,0.0083,0.2633,0.3705
Isaac Hoag,SMU,D2,Sr,0.508,3043,3043,2027,2026,122,0.3292,0.2601,0.3983,-0.0004,0.221,0.1079,0.1004,0.3307,0.0143,0.2609,0.3589
Blake Wilson,UW,D1,Jr,0.749,3490,3490,2027,2026,200,0.3292,0.2626,0.3957,0.0,0.2318,0.0896,0.1448,0.324,0.0197,0.2554,0.3283
Kevin Semm,Clackamas,JUCO,Fr,0.459,785,785,2027,2026,158,0.3291,0.2595,0.3987,-0.0002,0.2027,0.1392,0.0922,0.3128,0.0081,0.2473,0.3673
Reuben Elliston,Centralia,JUCO,So,0.592,737,737,2027,2026,104,0.3291,0.2609,0.3973,0.0012,0.1874,0.1261,0.076,0.3188,0.0051,0.2544,0.3688
Matthew Bailey,Lower Columbia,JUCO,Fr,0.499,119,119,2027,2025,154,0.3291,0.2599,0.3982,0.0,0.1331,0.1098,0.0703,0.3035,0.0057,0.2537,0.3735
Joey Genduso,Chemeketa,JUCO,Fr,0.422,74,74,2027,2025,170,0.3291,0.2591,0.399,0.0,0.2446,0.1006,0.1079,0.3318,0.0137,0.2661,0.3507
Mason Eastman,GFU,D3,,0.64,4134,4134,2027,2025,158,0.3291,0.2614,0.3967,0.0,0.118,0.0982,0.0893,0.3147,0.0083,0.2751,0.3573
Richie Hagen,Blue Mountain,JUCO,Fr,0.351,4208,4208,2027,2025,55,0.329,0.2583,0.3997,0.0,0.2452,0.1265,0.0846,0.3345,0.0099,0.2577,0.3622
Ian Williams,Grays Harbor,JUCO,Fr,0.372,962,962,2027,2026,110,0.3288,0.2583,0.3993,-0.0024,0.2538,0.1156,0.0879,0.3313,0.0087,0.2524,0.3698
Gavin Wideman,Walla Walla,JUCO,So,0.632,107,107,2027,2026,150,0.3288,0.261,0.3965,0.0002,0.1596,0.0942,0.0898,0.3087,0.011,0.262,0.3625
